ID,Name,IsTestObject,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
1,Chugach Electric South- Residential,0,1,1,0,1,0.0,0.7572226,8.0,0.0,Chugac,"[(nan, 0.201343), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
2,Anchorage ML&P - Residential,0,0,1,0,1,,1.1,13.62,0.0,Anchor,"[(nan, 0.175763), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
3,Golden Valley Electric - Residential,0,1,1,0,1,,2.358446,22.5,0.0,Golden,"[(nan, 0.22226300000000002), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
5,Enstar Natural Gas - G1 (Res),0,1,2,0,1,0.0,,16.25,0.0,Enstar,"[(nan, 0.9884029999999999), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
6,"Akhiok, City of Residential",0,1,1,0,0,0.3244,2.574322,,0.0,Akhiok,"[(nan, 1.3845), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
7,Akiachak Residential,0,1,1,0,0,0.2417,1.734183,,0.0,Akiach,"[(nan, 0.6), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
8,"Akiak, City of - Residential",0,1,1,0,0,0.3295,1.813185,,0.0,"Akiak,","[(nan, 0.63), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
9,"Akutan, City of - Residential",0,1,1,0,0,0.7542,2.053912,,0.0,Akutan,"[(nan, 0.95), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
11,AEL&P - Residential,0,1,1,0,1,,0.002855618,8.99,0.0,AEL&P ,"[(nan, 0.117286), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
15,Alutiiq Power - Residential,0,1,1,0,0,0.5042,2.731869,,0.0,Alutii,"[(nan, 0.7), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
16,"Atka, City of Residential",0,1,1,0,0,0.2261,0.5889879,,0.0,"Atka, ","[(nan, 0.625), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
17,Aniak Light & Power - Residential,0,1,1,0,1,0.1132,2.097938,,0.0,Aniak ,"[(nan, 0.402493), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
18,Arctic Village Elec - Residential,0,1,1,0,0,0.764,2.527019,,0.0,Arctic,"[(nan, 1.0), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
19,Atmautluak Joint Utilities - Residential,0,1,1,0,0,0.4642,1.873096,,0.0,Atmaut,"[(nan, 0.66), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
20,Barrow Utilities & Electric-elec - Residential,0,1,1,0,0,,2.028199,30.0,0.0,Barrow,"[(nan, 0.1404), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
21,Barrow Utilities & Electric-gas - Residential,0,1,2,0,0,,,30.0,0.0,Barrow,"[(55.0, 0.0), (nan, 0.41), (nan, nan), (nan, nan), (nan, nan)]"
22,Beaver Village Electric Utility - Residential,0,1,1,0,0,0.6267,2.499755,0.0,0.0,Beaver,"[(nan, 0.9), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
23,Bethel Utilities Corportion - Residential,0,1,1,0,1,0.2601,1.630212,5.0,0.0,Bethel,"[(nan, 0.523693), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
25,Birch Creek Utilities - Residential,0,1,1,0,0,0.7597,3.480678,,0.0,Birch ,"[(nan, 1.15), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
27,"Buckland, City of- Residential",0,1,1,0,0,0.2119,1.957637,,0.0,Buckla,"[(nan, 0.49), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
30,Chignik Lake Electric Utility - Residential,0,1,1,0,0,0.4355,2.7239,5.0,0.0,Chigni,"[(nan, 0.7), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
31,"Chignik, City of - Residential",0,1,1,0,0,0.0444,1.742497,0.0,0.0,Chigni,"[(nan, 0.416), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
32,Chitina Electric - Residential,0,1,1,0,0,0.764,2.356347,25.0,0.0,Chitin,"[(nan, 1.1), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
33,Central Electric- Residential,0,1,1,0,1,0.764,2.753425,,0.0,Centra,"[(nan, 1.1148930000000001), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
36,Copper Valley Electric Assn 1 - Residential,0,1,1,0,0,0.0,0.6005461,20.0,0.0,Copper,"[(nan, 0.33290000000000003), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
37,Cordova Electric Cooperative - Residential,0,1,1,0,0,0.1059,0.5688799,21.5,0.0,Cordov,"[(500.0, 0.2714), (nan, 0.2212), (nan, nan), (nan, nan), (nan, nan)]"
